date,price
1984-01-01,0.55
1984-04-01,0.55
1984-07-01,0.56
1984-10-01,0.56
1985-01-01,0.57
1985-04-01,0.58
1985-07-01,0.58
1985-10-01,0.59
1986-01-01,0.60
1986-04-01,0.61
1986-07-01,0.62
1986-10-01,0.63
1987-01-01,0.64
1987-04-01,0.65
1987-07-01,0.66
1987-10-01,0.67
1988-01-01,0.68
1988-04-01,0.69
1988-07-01,0.69
1988-10-01,0.70
1989-01-01,0.70
1989-04-01,0.70
1989-07-01,0.69
1989-10-01,0.69
1990-01-01,0.69
1990-04-01,0.69
1990-07-01,0.70
1990-10-01,0.70
1991-01-01,0.72
1991-04-01,0.73
1991-07-01,0.74
1991-10-01,0.75
1992-01-01,0.76
1992-04-01,0.77
1992-07-01,0.78
1992-10-01,0.79
1993-01-01,0.80
1993-04-01,0.82
1993-07-01,0.83
1993-10-01,0.85
1994-01-01,0.86
1994-04-01,0.87
1994-07-01,0.88
1994-10-01,0.89
1995-01-01,0.90
1995-04-01,0.91
1995-07-01,0.92
1995-10-01,0.93
1996-01-01,0.94
1996-04-01,0.95
1996-07-01,0.96
1996-10-01,0.97
1997-01-01,0.98
1997-04-01,0.99
1997-07-01,1.00
1997-10-01,1.00
1998-01-01,1.00
1998-04-01,1.00
1998-07-01,0.99
1998-10-01,0.99
1999-01-01,0.99
1999-04-01,0.99
1999-07-01,1.00
1999-10-01,1.00
2000-01-01,1.00
2000-04-01,1.00
2000-07-01,1.00
2000-10-01,1.00
2001-01-01,1.00
2001-04-01,1.00
2001-07-01,1.00
2001-10-01,1.00
2002-01-01,1.00
2002-04-01,1.00
2002-07-01,1.00
2002-10-01,1.00
2003-01-01,1.00
2003-04-01,1.00
2003-07-01,1.00
2003-10-01,1.00
2004-01-01,1.00
2004-04-01,1.00
2004-07-01,1.00
2004-10-01,1.00
2005-01-01,1.00
2005-04-01,1.00
2005-07-01,1.00
2005-10-01,1.00
2006-01-01,1.00
2006-04-01,1.00
2006-07-01,1.00
2006-10-01,1.00
2007-01-01,1.00
2007-04-01,1.00
2007-07-01,1.00
2007-10-01,1.00
2008-01-01,1.00
2008-04-01,1.00
2008-07-01,1.00
2008-10-01,1.00
2009-01-01,1.00
2009-04-01,1.00
2009-07-01,1.00
2009-10-01,1.00
2010-01-01,1.00
2010-04-01,1.00
2010-07-01,1.00
2010-10-01,1.00
2011-01-01,1.05
2011-04-01,1.06
2011-07-01,1.07
2011-10-01,1.08
2012-01-01,1.10
2012-04-01,1.12
2012-07-01,1.13
2012-10-01,1.15
2013-01-01,1.17
2013-04-01,1.18
2013-07-01,1.19
2013-10-01,1.20
2014-01-01,1.22
2014-04-01,1.24
2014-07-01,1.26
2014-10-01,1.28
2015-01-01,1.30
2015-04-01,1.32
2015-07-01,1.34
2015-10-01,1.36
2016-01-01,1.38
2016-04-01,1.40
2016-07-01,1.42
2016-10-01,1.44
2017-01-01,1.46
2017-04-01,1.48
2017-07-01,1.50
2017-10-01,1.52
2018-01-01,1.55
2018-04-01,1.57
2018-07-01,1.60
2018-10-01,1.62
2019-01-01,1.65
2019-04-01,1.68
2019-07-01,1.70
2019-10-01,1.75
2020-01-01,1.80
2020-04-01,1.82
2020-07-01,1.85
2020-10-01,1.90
2021-01-01,1.55
2021-04-01,1.60
2021-07-01,1.70
2021-10-01,1.80
2022-01-01,1.95
2022-04-01,2.05
2022-07-01,2.15
2022-10-01,2.25
2023-01-01,2.30
2023-04-01,2.35
2023-07-01,2.40
2023-10-01,2.43
2024-01-01,2.40
2024-04-01,2.45
2024-07-01,2.48
2024-10-01,2.49
2025-01-01,2.29
2025-04-01,2.29
2025-07-01,2.30
2025-10-01,2.35
2026-01-01,2.50
