date,value
1984-01-01,94700
1985-01-01,98500
1986-01-01,106300
1987-01-01,120800
1988-01-01,137900
1989-01-01,144300
1990-01-01,149500
1991-01-01,151100
1992-01-01,144500
1993-01-01,144700
1994-01-01,153600
1995-01-01,153500
1996-01-01,161100
1997-01-01,172200
1998-01-01,180000
1999-01-01,189100
2000-01-01,202900
2001-01-01,211000
2002-01-01,227600
2003-01-01,233100
2004-01-01,262900
2005-01-01,288500
2006-01-01,305300
2007-01-01,322100
2008-01-01,290400
2009-01-01,257000
2010-01-01,275300
2011-01-01,268100
2012-01-01,278000
2013-01-01,307400
2014-01-01,331400
2015-01-01,348000
2016-01-01,357000
2017-01-01,374800
2018-01-01,374600
2019-01-01,375500
2020-01-01,383000
2021-01-01,417400
2022-01-01,499300
2023-01-01,505300
2024-01-01,519700
