date,value
1984-01-01,10.23
1985-01-01,8.10
1986-01-01,6.80
1987-01-01,6.66
1988-01-01,7.57
1989-01-01,9.21
1990-01-01,8.10
1991-01-01,5.69
1992-01-01,3.52
1993-01-01,3.02
1994-01-01,4.20
1995-01-01,5.83
1996-01-01,5.30
1997-01-01,5.46
1998-01-01,5.35
1999-01-01,4.97
2000-01-01,6.24
2001-01-01,3.89
2002-01-01,1.67
2003-01-01,1.13
2004-01-01,1.35
2005-01-01,3.21
2006-01-01,4.96
2007-01-01,5.02
2008-01-01,1.93
2009-01-01,0.16
2010-01-01,0.18
2011-01-01,0.10
2012-01-01,0.14
2013-01-01,0.11
2014-01-01,0.09
2015-01-01,0.13
2016-01-01,0.40
2017-01-01,1.00
2018-01-01,1.83
2019-01-01,2.16
2020-01-01,0.38
2021-01-01,0.08
2022-01-01,1.68
2023-01-01,5.02
2024-01-01,5.33
