date,value
1984-01-01,1.039
1985-01-01,1.076
1986-01-01,1.096
1987-01-01,1.136
1988-01-01,1.183
1989-01-01,1.240
1990-01-01,1.307
1991-01-01,1.362
1992-01-01,1.403
1993-01-01,1.445
1994-01-01,1.482
1995-01-01,1.524
1996-01-01,1.569
1997-01-01,1.605
1998-01-01,1.630
1999-01-01,1.666
2000-01-01,1.722
2001-01-01,1.771
2002-01-01,1.799
2003-01-01,1.840
2004-01-01,1.889
2005-01-01,1.953
2006-01-01,2.016
2007-01-01,2.073
2008-01-01,2.153
2009-01-01,2.145
2010-01-01,2.181
2011-01-01,2.249
2012-01-01,2.296
2013-01-01,2.330
2014-01-01,2.367
2015-01-01,2.370
2016-01-01,2.400
2017-01-01,2.451
2018-01-01,2.511
2019-01-01,2.557
2020-01-01,2.588
2021-01-01,2.710
2022-01-01,2.927
2023-01-01,3.053
2024-01-01,3.100
