date,value
1984-01-01,0.55
1985-01-01,0.57
1986-01-01,0.60
1987-01-01,0.64
1988-01-01,0.68
1989-01-01,0.70
1990-01-01,0.69
1991-01-01,0.72
1992-01-01,0.76
1993-01-01,0.80
1994-01-01,0.86
1995-01-01,0.90
1996-01-01,0.94
1997-01-01,0.98
1998-01-01,1.00
1999-01-01,0.99
2000-01-01,1.00
2001-01-01,1.00
2002-01-01,1.00
2003-01-01,1.00
2004-01-01,1.00
2005-01-01,1.00
2006-01-01,1.00
2007-01-01,1.00
2008-01-01,1.00
2009-01-01,1.00
2010-01-01,1.00
2011-01-01,1.05
2012-01-01,1.10
2013-01-01,1.17
2014-01-01,1.22
2015-01-01,1.30
2016-01-01,1.38
2017-01-01,1.46
2018-01-01,1.55
2019-01-01,1.65
2020-01-01,1.80
2021-01-01,1.55
2022-01-01,1.95
2023-01-01,2.30
2024-01-01,2.40
