date,value
1984-01-01,8.0
1985-01-01,7.3
1986-01-01,6.7
1987-01-01,6.6
1988-01-01,5.7
1989-01-01,5.4
1990-01-01,5.4
1991-01-01,6.4
1992-01-01,7.3
1993-01-01,7.3
1994-01-01,6.6
1995-01-01,5.6
1996-01-01,5.6
1997-01-01,5.3
1998-01-01,4.6
1999-01-01,4.3
2000-01-01,4.0
2001-01-01,4.2
2002-01-01,5.7
2003-01-01,5.8
2005-01-01,5.3
2006-01-01,4.7
2007-01-01,4.6
2008-01-01,5.0
2009-01-01,7.8
2010-01-01,9.8
2011-01-01,9.1
2012-01-01,8.3
2013-01-01,8.0
2014-01-01,6.6
2015-01-01,5.7
2016-01-01,4.8
2017-01-01,4.7
2018-01-01,4.0
2019-01-01,4.0
2020-01-01,3.6
2021-01-01,6.4
2022-01-01,4.0
2023-01-01,3.5
2024-01-01,3.7
